0.000,1.558,4.151,-2.741,-0.368,-4.000
1.000,-2.179,5.395,-2.018,-4.662,8.000
0.000,0.841,3.552,-1.664,3.957,-9.000
0.000,0.438,2.388,-0.383,-2.309,3.000
1.000,-0.457,2.534,-1.893,-0.634,4.000
1.000,-1.014,3.903,-1.396,-4.422,3.000
1.000,-0.258,3.634,-2.071,3.532,-8.000
1.000,-0.818,2.502,-2.284,0.201,6.000
0.000,0.632,3.569,-3.179,2.738,4.000
1.000,-0.806,3.034,-1.945,0.610,6.000
0.000,3.609,2.686,-2.021,-4.304,-3.000
1.000,-0.219,2.756,-2.093,4.654,2.000
1.000,-0.836,1.544,-2.042,-2.767,3.000
1.000,-0.656,1.923,-2.762,2.230,6.000
1.000,-0.548,2.838,-3.665,2.488,-5.000
1.000,0.496,2.753,-1.740,-4.944,8.000
0.000,0.720,2.966,-0.846,-3.295,7.000
0.000,0.311,3.549,-0.888,-1.366,6.000
0.000,-0.685,3.987,-2.417,0.397,-1.000
1.000,-0.149,3.533,-1.798,3.641,8.000
0.000,0.600,3.052,-1.022,0.069,-7.000
0.000,1.680,1.374,-0.851,3.790,0.000
0.000,-0.839,3.436,-2.603,0.358,-8.000
0.000,0.813,3.394,-2.933,0.529,1.000
0.000,0.052,3.234,-1.589,-2.257,-1.000
1.000,-0.792,2.908,0.071,-4.100,7.000
0.000,-0.668,4.480,-2.027,-2.764,9.000
0.000,1.939,4.113,-2.245,-2.397,3.000
1.000,0.517,1.802,-1.878,-4.859,2.000
1.000,-0.736,4.130,-2.734,-4.599,9.000
1.000,-0.276,0.976,-1.070,3.425,4.000
0.000,0.107,3.936,-2.973,-3.748,-8.000
0.000,-0.121,4.820,-2.456,4.958,-9.000
1.000,-1.028,1.399,-2.848,-0.097,-3.000
1.000,-1.058,2.129,-2.564,-1.101,-7.000
0.000,0.609,2.948,-2.737,4.094,-7.000
1.000,-0.447,2.681,-3.070,4.906,-7.000
1.000,-1.056,3.533,-2.924,-0.981,-10.000
0.000,0.893,4.605,-0.371,-3.373,-2.000
1.000,-1.357,5.238,-2.347,4.666,-7.000
1.000,0.051,3.243,-2.528,0.967,5.000
0.000,-0.360,2.839,-0.984,4.819,0.000
1.000,0.371,3.670,-0.794,-3.434,5.000
0.000,0.324,1.357,0.219,-0.411,7.000
1.000,-1.713,3.403,-1.889,-0.354,8.000
0.000,0.874,2.975,-2.901,-0.879,0.000
0.000,-0.094,3.516,-1.292,2.440,-5.000
0.000,-0.092,2.397,-2.320,1.662,4.000
0.000,2.367,3.339,-1.448,-2.136,1.000
0.000,-0.514,3.863,-1.197,-2.116,-2.000
0.000,-0.093,4.153,-2.151,-0.388,-9.000
0.000,0.332,4.492,-1.597,-2.254,7.000
0.000,0.143,3.307,-2.622,-4.633,-5.000
1.000,-0.776,3.957,-2.703,-3.610,-7.000
0.000,0.543,0.901,-1.461,-0.666,-4.000
0.000,0.050,4.410,-3.718,2.097,6.000
1.000,-1.767,3.413,-3.385,4.682,1.000
1.000,0.908,1.833,-2.571,-4.129,2.000
0.000,-0.602,3.636,-1.526,1.683,-5.000
0.000,0.950,2.954,-3.104,4.591,8.000
1.000,0.207,3.293,-3.840,-2.134,-1.000
0.000,1.122,2.859,0.080,3.357,6.000
1.000,-2.036,3.066,-2.888,-0.199,-4.000
0.000,-0.496,3.350,-3.110,4.693,3.000
1.000,-0.995,1.769,-1.867,0.582,-6.000
0.000,-0.481,2.785,-1.408,-0.821,-5.000
0.000,1.375,4.693,0.403,-3.978,-1.000
1.000,-0.434,1.789,-2.447,0.873,9.000
0.000,2.332,2.387,-1.458,-1.172,-8.000
1.000,-1.037,2.516,-1.515,-2.054,3.000
1.000,0.189,3.378,-1.927,-2.763,9.000
0.000,0.756,2.789,-2.192,2.351,7.000
1.000,-0.845,3.143,-3.817,-3.033,-7.000
0.000,0.165,2.930,-2.357,-3.040,-6.000
0.000,1.093,3.199,-3.166,3.595,0.000
0.000,1.401,3.997,-2.488,1.830,8.000
0.000,1.485,2.458,-4.609,-1.726,2.000
